id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Bovine_alphaherpesvirus_1,10323,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Bovine_alphaherpesvirus_1
s__Equid_alphaherpesvirus_4,10331,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Equid_alphaherpesvirus_4
s__Human_alphaherpesvirus_1,10298,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Human_alphaherpesvirus_1
s__Murid_betaherpesvirus_1,69156,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Muromegalovirus,Murid_betaherpesvirus_1
s__Macacine_alphaherpesvirus_1,10325,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Macacine_alphaherpesvirus_1
s__Bovine_alphaherpesvirus_1,10320,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Bovine_alphaherpesvirus_1
s__Human_alphaherpesvirus_2,10313,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Human_alphaherpesvirus_2
s__Staphylococcus_virus_PVL,71366,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Peeveelvirus,Staphylococcus_virus_PVL
s__Human_alphaherpesvirus_1,10306,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Human_alphaherpesvirus_1
s__Human_betaherpesvirus_5,10359,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus,Human_betaherpesvirus_5
s__Human_alphaherpesvirus_1,10299,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Human_alphaherpesvirus_1
